01,PA40q,A40_48g
02,K20q,K20_6g
03,NA,NA
04,PA40q,A40_48g
05,K80q,K80_12g
06,K80q,K80_12g
07,NV100q,V100_16g
08,NV100q,V100_16g
09,PV100q,V100_16g
10,RTXA6Kq,A6000_48g
11,NA,NA
12,RTXA6Kq,A6000_48g
13,PA40q,A40_48g
14,PV1003q,V100_32g
15,PV1003q,V100_32g
16,PV1003q,V100_32g
17,PV1003q,V100_32g
18,DGXq,P100_16g
19,DGXq,P100_16g
20,DGXq,V100_16g
21,DGXq,V100_16g
22,RTX8Kq,RTX8000_48g
23,NV100q,V100_32g
24,NV100q,V100_32g
25,PA100q,A100_40g
26,PA100q,A100_40g
27,RTXA6Kq,A6000_48g
28,RTXA6Kq,A6000_48g
29,PA100q,A100_40g
30,PA100q,A100_80g
31,NA,NA
